"","algorithm","modularity","TPR","expansion"
"1","edge.betweenness.community",0.27118031526336,0.755555555555556,7.3
"2","fastgreedy.community",0.350472895040369,1,3.61721611721612
"3","label.propagation.community",0.230211457131872,1,1.46033653846154
"4","leading.eigenvector.community",0.356324490580546,0.955555555555556,3.97138694638695
"5","multilevel.community",0.375040369088812,1,3.05952380952381
"6","spinglass.community",0.374163783160323,1,3.11057692307692
"7","walktrap.community",0.321307182312012,1,2.99444444444444
"8","infomap.community",0.275586312956555,1,2.03448275862069
