"","tpr","expansion","conductance","modularity","algorithm","clusters","time"
"1",0.853333333333333,2.8,0.184899153194765,0.00432159812413435,"edge.betweenness",12,0.936493158340454
"2",1,15.2266666666667,0.500019220122401,0.0881558997349152,"fastgreedy",3,0.00276684761047363
"3",1,0,0,0,"label.propagation",1,0.000430107116699219
"4",1,16.7466666666667,0.550767254565209,0.0840778804937252,"leading.eigenvector",3,0.0147771835327148
"5",1,18.7733333333333,0.618098536186582,0.0963813119497796,"multilevel",4,0.00139880180358887
"6",1,19.3866666666667,0.638228728274471,0.103644741740864,"spinglass",4,1.24754881858826
"7",0.96,2.4,0.123649725818305,0.0150093892589211,"walktrap",3,0.00474905967712402
"8",1,0,0,0,"infomap",1,0.00578093528747559
