"","algorithm","clusters","modularity","TPR","expansion","conductance"
"1","edge.betweenness",4,0.604137931034483,0.217391304347826,0.521739130434783,0.109778095347893
"2","fastgreedy",4,0.557336504161712,0.246376811594203,0.753623188405797,0.111249368100942
"3","label.propagation",4,0.503281807372176,0.217391304347826,0.666666666666667,0.124472943479339
"4","leading.eigenvector",4,0.481973840665874,0.217391304347826,0.985507246376812,0.149766636073225
"5","multilevel",5,0.569179548156956,0.217391304347826,0.898550724637681,0.13967121769948
"6","spinglass",5,0.59923900118906,0.217391304347826,0.753623188405797,0.141861710714784
"7","walktrap",4,0.604328155517578,0.217391304347826,0.521739130434783,0.102636402830413
"8","infomap",6,0.596741973840666,0.217391304347826,0.840579710144927,0.162942626289441
