"","tpr","expansion","conductance","modularity","algorithm","clusters","time"
"1",1,4.23931623931624,0.117356813506051,0.536123461474478,"edge.betweenness",4,32.2811279296875
"2",1,3.51282051282051,0.0879677395466283,0.531795474005373,"fastgreedy",3,0.00608205795288086
"3",1,4.23931623931624,0.117356813506051,0.536123461474477,"label.propagation",4,0.000874042510986328
"4",1,4.23931623931624,0.117356813506051,0.536123461474478,"leading.eigenvector",4,0.0171191692352295
"5",1,4.23931623931624,0.117356813506051,0.536123461474477,"multilevel",4,0.00196504592895508
"6",0.995726495726496,4.35897435897436,0.122371707769999,0.533708347601831,"spinglass",5,1.90337491035461
"7",1,4.23931623931624,0.117356813506051,0.53612345457077,"walktrap",4,0.0130939483642578
"8",1,4.23931623931624,0.117356813506051,0.536123461474478,"infomap",4,0.0257580280303955
