"","tpr","expansion","conductance","modularity","algorithm","clusters"
"1",0.755555555555556,4.48888888888889,0.455605462274718,0.27118031526336,"edge.betweenness",13
"2",1,3.51111111111111,0.307265045106772,0.350472895040369,"fastgreedy",3
"3",0.977777777777778,1.2,0.117460317460317,0.221107266435986,"label.propagation",2
"4",0.955555555555556,3.82222222222222,0.356479130518003,0.356324490580546,"leading.eigenvector",4
"5",1,3.06666666666667,0.269663593882879,0.375040369088812,"multilevel",3
"6",1,3.42222222222222,0.314141886441628,0.373356401384083,"spinglass",4
"7",1,3.06666666666667,0.295703079264723,0.321307182312012,"walktrap",4
"8",1,1.6,0.166846846846847,0.275586312956555,"infomap",3
