"","weighted.tpr","modularity","expansion","conductance"
"betweenness",0.869565217391304,0.113694100006877,0,0
"fastgreedy",0.673913043478261,0.232574504173111,0,0
"label propagation",0.934782608695652,0.231266650260685,0,0
"leading eigenvec",NA,NA,NA,NA
"multilevel",0.673913043478261,0.232574504173111,0,0
"spinglass",0.543478260869565,0.0155266215557327,0,0
"walktrap",0.869565217391304,0.193872094154358,0,0
"infomap",0.956521739130435,1.99840144432528e-15,0,0
