"","tpr","expansion","conductance","modularity","algorithm","clusters"
"1",0.0625,1.0625,0.241245519468888,0.441320100819156,"edge.betweenness",4
"2",0,1.6875,0.394687141562142,0.414303717706364,"fastgreedy",6
"3",0.140625,1.0625,0.259125990214352,0.387812434362529,"label.propagation",4
"4",0.0625,1.78125,0.400127656788967,0.398970804452846,"leading.eigenvector",6
"5",0.09375,1.0625,0.235725492515608,0.457860743541273,"multilevel",4
"6",0.0625,1.59375,0.363428058149207,0.464056920814955,"spinglass",7
"7",0.109375,0.875,0.196138506041644,0.463741838932037,"walktrap",3
"8",0.0625,1.40625,0.330243580506096,0.465658475110271,"infomap",6
