"","tpr","modularity","expansion","conductance"
"betweenness",0.794117647058824,0.401298487836949,1.41176470588235,0.317574002131536
"fastgreedy",0.823529411764706,0.380670611439842,1.11764705882353,0.243374272786037
"label propagation",0.794117647058823,0.390696909927679,1.41176470588235,0.3056948351066
"leading eigenvec",0.735294117647059,0.393408941485865,1.52941176470588,0.335043319653443
"multilevel",0.794117647058824,0.418803418803419,1.23529411764706,0.273868507976667
"optimal",0.794117647058824,0.419789612097305,1.23529411764706,0.274019607843137
"spinglass",0.794117647058824,0.419789612097304,1.23529411764706,0.274019607843137
"walktrap",0.588235294117647,0.353221565485001,1.88235294117647,0.40343137254902
"infomap",0.882352941176471,0.402038132807364,0.823529411764706,0.180563664671824
