"","algorithm","modularity","TPR","expansion","conductance"
"1","edge.betweenness.community",0.00684477321084725,0.760869565217391,8.69565217391304,0.289848464825338
"2","fastgreedy.community",0.232126544996504,0.673913043478261,5.04347826086957,0.547193774443781
"3","label.propagation.community",0.23113227543887,0.934782608695652,6.73913043478261,0.255647316006801
"4","leading.eigenvector.community",0.231862351278598,0.760869565217391,3.78260869565217,0.195697116936684
"5","multilevel.community",0.232126544996503,0.673913043478261,5.04347826086957,0.622621374896745
"6","spinglass.community",0.0159814424225948,0.717391304347826,7.78260869565217,NA
"7","walktrap.community",0.193562895059586,0.934782608695652,6.43478260869565,0.245643329178524
"8","infomap.community",-7.105427357601e-15,0.956521739130435,0,0
