"","tpr","modularity","expansion","conductance"
"betweenness",0.869565217391304,0.113694100006877,5.65217391304348,0.399228861505076
"fastgreedy",0.673913043478261,0.232574504173111,5.04347826086957,0.363893053640806
"label propagation",0.934782608695652,0.231266650260685,6.73913043478261,0.436738183363281
"leading eigenvec",NA,NA,NA,NA
"multilevel",0.673913043478261,0.232574504173111,5.04347826086957,0.363893053640806
"optimal",NA,NA,NA,NA
"spinglass",0.739130434782609,0.0169575092619069,7.30434782608696,0.500391674914512
"walktrap",0.869565217391304,0.193872094154358,7.39130434782609,0.485848352242645
"infomap",0.956521739130435,1.99840144432528e-15,0,0
